NumberSequence,Txt,Lowest,Highest,Format,Continuous,Manual,ScopeType,DataArea,NextRec,AllowChangeDown,AllowChangeUp
GJ-GCL2101,สมุดเคลียร์เช็ครับลงวันที่ล่วงหน้า 2021-01,1,9999,GCL2101-####,Yes,No,Company,APH,1,Yes,Yes
GJ-GCL2102,สมุดเคลียร์เช็ครับลงวันที่ล่วงหน้า 2021-02,1,9999,GCL2102-####,Yes,No,Company,APH,1,Yes,Yes
GJ-GCL2103,สมุดเคลียร์เช็ครับลงวันที่ล่วงหน้า 2021-03,1,9999,GCL2103-####,Yes,No,Company,APH,1,Yes,Yes
GJ-GCL2104,สมุดเคลียร์เช็ครับลงวันที่ล่วงหน้า 2021-04,1,9999,GCL2104-####,Yes,No,Company,APH,1,Yes,Yes
GJ-GCL2105,สมุดเคลียร์เช็ครับลงวันที่ล่วงหน้า 2021-05,1,9999,GCL2105-####,Yes,No,Company,APH,1,Yes,Yes
GJ-GCL2106,สมุดเคลียร์เช็ครับลงวันที่ล่วงหน้า 2021-06,1,9999,GCL2106-####,Yes,No,Company,APH,1,Yes,Yes
GJ-GCL2107,สมุดเคลียร์เช็ครับลงวันที่ล่วงหน้า 2021-07,1,9999,GCL2107-####,Yes,No,Company,APH,1,Yes,Yes
GJ-GCL2108,สมุดเคลียร์เช็ครับลงวันที่ล่วงหน้า 2021-08,1,9999,GCL2108-####,Yes,No,Company,APH,1,Yes,Yes
GJ-GCL2109,สมุดเคลียร์เช็ครับลงวันที่ล่วงหน้า 2021-09,1,9999,GCL2109-####,Yes,No,Company,APH,1,Yes,Yes
GJ-GCL2110,สมุดเคลียร์เช็ครับลงวันที่ล่วงหน้า 2021-10,1,9999,GCL2110-####,Yes,No,Company,APH,1,Yes,Yes
GJ-GCL2111,สมุดเคลียร์เช็ครับลงวันที่ล่วงหน้า 2021-11,1,9999,GCL2111-####,Yes,No,Company,APH,1,Yes,Yes
GJ-GCL2112,สมุดเคลียร์เช็ครับลงวันที่ล่วงหน้า 2021-12,1,9999,GCL2112-####,Yes,No,Company,APH,1,Yes,Yes
